ingredient_key,canonical_unit,price_per_unit
"( 2 1/2 pounds) russet potatoes, peeled and cut into 1-inch chunks",kg,0.014029
(1 1/2 ounces) flour,cup,0.909094
"(1 1/4 cups) all-purpose flour, plus more for rolling",g,0.013004
"(1 ounce; 30g) unsalted butter or extra-virgin olive oil, plus more oil to sear or grill, if desired",tbsp,0.041045
(1 package) yeast,tsp,0.080896
"(1.2l) water, milk, or chicken stock or vegetable stock (see note)",cup,0.17636
(10 g) vanilla extract,tsp,0.074888
(10-inch) flour tortilla,nan,0.044933
(11 1/4 oz) all purpose flour,cup,1.041591
(113 g) egg whites from 4 large eggs,ounces,0.026298
(113 g) thinly sliced prosciutto,ounces,0.034409
(12-ounce) can evaporated milk,nan,0.038697
(120 ml) extra-virgin olive oil,cup,0.478896
(12g) cumin seeds,tbsp,0.196386
(12g) kashmiri red chili powder (see note),tsp,0.06954
(13g) kala namak powder,tbsp,0.028485
(14 ounce) can diced tomatoes,nan,0.03772
(14-ounce) can sweetened condensed milk,nan,0.021872
"(15 g) minced flat-leaf parsley, plus more for garnish",cup,0.100714
(15 ml) honey,tbsp,0.089811
"(15-ounce; 425 g each) cans black-eyed peas, drained and rinsed",nan,0.042759
"(15-ounce; 425 g) can diced tomatoes, drained",nan,0.041877
(15ml) vegetable oil,tbsp,0.024881
(160ml) orange juice from 2 medium oranges,cup,0.159477
(16g) tamarind powder,tsp,0.049691
(18g) green mango powder,tbsp,0.178731
"(1g) diamond crystal kosher salt; for table salt, use about half as much by volume or the same weight",tsp,0.104184
"(2 teaspoons) diamond crystal kosher salt; for table salt, use half as much by volume",g,0.015977
(2 teaspoons) granulated sugar,g,0.012973
(2-inch) strips dried orange peel (see note),nan,0.037035
(240 ml) whole milk,cup,1.785217
(240ml) distilled white vinegar,cup,1.525186
(240ml) water,cup,1.950625
"(28 g) unsalted butter, divided",tbsp,0.081175
(2g) ginger powder,tsp,0.075855
(2g) kosher salt,tsp,0.039176
(2g) whole black peppercorns,tsp,0.075769
(30 g) prepared horseradish,tbsp,0.062589
"(30 ml) fresh lemon juice, from 1 medium lemonc",tbsp,0.105722
(300g) firm granular rice koji (see note),cup,1.414718
(300ml) whole milk,cup,1.652574
(30g) dried kombu (see note),ounce,0.030029
"(30g) finely grated parmesan cheese, divided",ounce,0.037672
"(30g) packed dried bonito flakes (katsuobushi, see note)",ounce,0.039306
(30g) unsalted butter,tbsp,0.040528
(30g) very thinly julienned or grated carrot (optional),cup,1.596655
(30g) very thinly julienned or grated daikon radish (optional),cup,1.58133
"(30ml) bourbon, rye, or scotch",tbsp,0.298142
(30ml) vegetable oil,tbsp,0.275343
"(30ml) vegetable, canola, or rice bran oil",tbsp,0.24658
"(340 g) full-fat philadelphia cream cheese, softened",ounces,0.021731
"(340 g) thinly sliced rare roast beef, homemade or store-bought (see notes)",ounces,0.010227
(3g) ajwain seeds,tsp,0.090947
(3g) dried mint,tbsp,0.139629
(400g; 400ml) water,cup,1.426088
"(454 g) cremini or button mushrooms, stemmed and cut into 1/4-inch slices",ounces,0.020561
"(454 g) napa cabbage kimchi, homemade or store-bought, coarsely chopped",ounces,0.007087
(45g) butter,tbsp,0.106763
(45g) shredded whole milk low-moisture mozzarella cheese,ounces,0.026048
"(45ml) orange liqueur, such as cointreau or grand marnier",tbsp,0.123939
(480 ml) heavy cream,cup,0.311325
(4g) fennel seeds,tsp,0.092467
(4g) kosher salt,tsp,0.032117
"(5 g) chopped fresh dill, plus more for serving",tbsp,0.265901
(5 g) matcha powder,tbsp,0.238337
(5 ml) dijon or whole-grain mustard,tsp,0.132123
"(5 ml) lemon juice, plus lemon wedges for serving",tsp,0.12122
(5 ounces; 140g) medium or coarse cornmeal/polenta (see note),cup,1.778354
(5 tablespoons) heavy cream,g,0.026452
"(5 tablespoons) unsalted butter, cut into tablespoons",g,0.011398
(5g) coriander seeds,tbsp,0.045588
"(5g) diamond crystal kosher salt; for table salt, use about half as much by volume or the same weight",tsp,0.149713
(5g) vanilla extract,tsp,0.142612
(5ml) soy sauce,tsp,0.012187
(60 ml) dijon mustard,cup,0.501046
"(60 ml) extra-virgin olive oil, plus more for drizzling",cup,1.164116
(60 ml) heavy cream,cup,0.921528
(60 ml) mayonnaise,cup,0.427464
(60 ml) plain whole-milk strained (greek-style) yogurt,cup,1.177163
(60ml) fish sauce,cup,1.446091
(60ml) store-bought or homemade pizza sauce,cup,1.697963
"(680g) thin-cut pork chops, preferably blade end, with plenty of fat and marbling",pounds,0.048411
(6g) black peppercorns,tsp,0.03434
(6g) whole yellow mustard seed,tsp,0.098091
(7 g) matcha powder,tbsp,0.265103
(720 ml) low-sodium vegetable broth,cup,0.98356
(75g) diamond crystal kosher salt,tbsp,0.242761
